霄:,s|iu|1
路:,l|u|0
鹽:,y|a|m|3
翅:,c|i|3
嫁:,k|a|0
實:,s|ii|t|8
概:,k|oi|3
湯:,th|o|ng|5
委:,v|e|0
沿:,y|e|n|3
梳:,s|ii|5
拐:,k|oa|i|2
發:,f|a|t|0
湖:,f|u|3
學:,h|o|k|8
散:,s|a|n|0
悉:,s|i|t|0
贏:,y|a|ng|3
下:,h|a|0
懶:,l|a|n|5
哈:,h|a|5
涉:,s|i|p|3
齊:,chh|e|3
走:,ch|eu|2
坛:,t|aa|n|4
筆:,p|i|t|0
唱:,chh|o|ng|0
指:,ch|ii|2
棲:,c|ai|1
川:,c|y|u|n|1
考:,kh|au|2
裁:,chh|ai|3
雀:,z|oe|k|3
醫:,y|i|5
窖:,g|aa|u|3
征:,ch|ii|n|5
街:,k|ie|5
時:,s|ii|3
直:,chh|ii|t|8
韓:,h|o|n|3
報:,p|o|0
承:,s|ii|n|3
你:,ng|i|3
轻:,h|i|ng|1
武:,v|u|2
鬧:,n|au|0
園:,y|e|n|3
常:,s|o|ng|3
砣:,t|o|4
討:,th|o|2
菲:,f|e|i|2
粥:,z|u|k|1
死:,s|i|2
構:,k|au|3
門:,m|u|n|3
職:,ch|ii|t|0
院:,y|e|n|0
腳:,k|io|k|0
似:,c|i|5
轉:,ch|o|n|2
猴:,h|eu|3
攪:,k|au|2
贊:,ch|a|n|0
爛:,l|a|n|0
理:,l|i|5
菜:,chh|oi|0
蛇:,s|a|3
芝:,z|i|1
參:,chh|a|m|5
香:,h|io|ng|5
還:,h|a|n|3
景:,k|i|n|2
孫:,s|u|n|5
母:,m|u|5
众:,z|u|ng|3
臭:,chh|u|0
革:,k|ie|t|0
孔:,kh|u|ng|5
餿:,s|au|1
洪:,f|u|ng|3
搦:,n|i|k|1
丑:,c|au|2
左:,ch|o|2
抽:,chh|u|5
咁:,g|a|m|2
口:,h|eu|2
曉:,h|ia|u|2
駒:,k|e|o|i|1
打:,t|a|2
錢:,chh|ie|n|3
植:,chh|ii|t|8
陽:,y|o|ng|3
吳:,ng|4
嘞:,l|aa|3
致:,ch|ii|0
鴨:,a|p|0
及:,kh|i|p|8
邵:,s|iu|6
盆:,ph|u|n|3
箱:,s|io|ng|5
府:,f|u|2
文:,v|u|n|3
色:,s|e|t|0
衝:,chh|u|ng|0
官:,k|o|n|5
煮:,ch|u|2
禹:,j|y|u|5
轄:,h|o|t|0
累:,l|e|o|i|6
多:,t|o|5
辛:,s|i|n|5
師:,s|ii|5
耖:,c|aa|u|3
狗:,k|ie|u|2
懂:,t|u|ng|2
亭:,th|i|n|3
臨:,l|i|m|3
員:,y|e|n|3
洲:,ch|u|5
只:,ch|a|k|0
添:,th|ia|m|5
日:,ng|i|t|0
冬:,t|u|ng|5
嚼:,chh|eu|0
災:,ch|ai|5
歹:,d|aa|i|2
問:,m|u|n|0
麼:,m|a|2
之:,ch|ii|5
同:,th|u|ng|3
軍:,k|iu|n|5
石:,s|a|k|8
壞:,f|ai|2
藉:,ch|ia|0
貴:,k|u|i|0
原:,ng|ie|n|3
邊:,p|ie|n|5
陵:,l|i|ng|4
新:,s|i|n|5
升:,s|ii|n|5
搭:,t|a|p|0
湘:,s|oe|ng|1
刮:,k|oa|t|0
漢:,h|o|n|0
俚:,l|e|i|5
最:,ch|u|i|0
芬:,f|u|n|5
婦:,f|u|0
亂:,l|o|n|0
可:,kh|o|2
用:,y|u|ng|0
圓:,y|e|n|3
早:,ch|o|2
擔:,t|a|m|5
宿:,s|u|k|0
涕:,t|ai|3
青:,chh|ia|ng|5
崽:,z|ai|2
陸:,l|iu|k|8
言:,ng|ie|n|3
吉:,k|i|2
基:,k|i|5
鳥:,n|ia|u|5
鼠:,s|y|u|2
梁:,l|oe|ng|4
嫌:,h|ia|m|3
冷:,l|a|ng|5
輸:,s|u|5
品:,ph|i|n|2
産:,c|aa|n|2
恰:,kh|a|p|0
扛:,k|o|ng|5
豆:,th|eu|0
海:,h|oi|2
蘇:,s|u|5
已:,y|i|2
著:,chh|o|k|8
餘:,y|i|3
蓮:,l|ie|n|3
撫:,f|u|2
寡:,k|oa|2
袁:,j|y|u|n|4
公:,k|u|ng|5
集:,s|i|p|8
藏:,c|o|ng|4
西:,s|i|5
值:,chh|ii|t|8
盞:,ch|a|n|2
司:,s|ii|5
割:,k|o|t|0
介:,k|ie|0
比:,p|i|2
股:,k|u|2
换:,w|u|n|6
米:,m|i|2
乞:,kh|ie|t|0
鱼:,j|y|u|4
嘴:,ch|oi|0
簟:,t|i|m|5
贛:,g|a|m|3
井:,ch|ia|ng|2
瞌:,h|a|p|6
枝:,k|i|5
黃:,v|o|ng|3
千:,chh|ie|n|5
楚:,chh|u|2
繫:,k|ie|5
聖:,s|ii|n|0
扁:,p|ie|n|2
萬:,v|a|n|0
頂:,t|a|ng|2
骨:,k|u|t|0
經:,k|a|ng|5
百:,p|a|k|0
織:,chh|ia|k|0
尿:,ng|ia|u|0
耕:,k|a|ng|5
陳:,chh|ii|n|3
子:,ch|ii|2
活:,f|a|t|8
挑:,th|ia|u|5
勒:,l|e|t|8
徽:,f|ai|1
寸:,chh|u|n|0
廣:,k|o|ng|2
野:,y|a|5
澤:,z|aa|k|6
不:,p|u|t|0
樹:,s|u|0
律:,l|i|t|8
桶:,th|u|ng|2
牡:,m|aa|u|5
户:,w|u|6
蠢:,c|e|o|n|2
嘍:,l|au|4
浸:,ch|i|m|0
吊:,t|ia|u|0
嗰:,g|o|2
飛:,f|i|5
李:,l|i|2
鵝:,ng|o|4
田:,th|ie|n|3
屙:,o|5
嘚:,d|a|k|1
猛:,m|a|ng|5
夫:,f|u|5
省:,s|a|ng|2
霖:,l|a|m|4
仂:,l|a|k|6
当:,d|o|ng|1
己:,g|e|i|2
蔔:,b|aa|k|6
術:,s|u|t|8
另:,n|a|ng|0
嗥:,h|ou|4
餵:,v|i|0
傲:,ng|au|0
吥:,b|a|t|1
靠:,kh|o|0
克:,kh|ie|t|0
收:,s|u|5
懷:,f|ai|3
離:,l|i|3
反:,f|a|n|2
釘:,t|a|ng|5
州:,z|au|1
郡:,g|w|a|n|6
喊:,h|a|m|0
卵:,l|o|n|2
碰:,p|u|ng|3
掛:,k|oa|0
版:,p|a|n|2
初:,chh|u|5
弟:,th|i|0
舀:,y|eu|2
壁:,p|ia|k|0
馬:,m|a|5
饭:,f|aa|n|6
怨:,y|e|n|0
雩:,j|y|u|4
叔:,s|u|k|0
博:,p|o|k|0
刀:,t|o|5
去:,h|i|0
游:,y|u|3
憑:,ph|i|n|3
腸:,chh|o|ng|3
正:,ch|a|ng|0
彎:,v|a|n|5
漏:,l|eu|0
賺:,chh|o|n|0
噴:,ph|u|n|0
裡:,l|e|o|i|5
里:,l|i|5
買:,m|ai|5
客:,h|a|k|0
足:,ch|iu|k|0
亞:,a|5
安:,o|n|5
年:,ng|ie|n|3
江:,k|o|ng|5
爬:,ph|a|3
淚:,l|ai|6
保:,p|o|2
布:,p|u|0
站:,z|aa|m|6
俄:,ng|o|3
芯:,s|a|m|1
賀:,f|o|0
袖:,chh|iu|0
豬:,ch|u|5
詩:,s|ii|5
席:,z|i|k|6
五:,ng|2
示:,s|ii|0
長:,chh|o|ng|3
腦:,ng|o|2
眼:,ng|ie|n|2
儒:,j|y|u|4
追:,ch|u|i|5
永:,y|u|n|2
縣:,y|e|n|0
物:,v|u|t|8
覺:,k|au|0
亥:,h|oi|6
糠:,h|o|ng|1
埋:,m|ai|3
了:,l|e|2
和:,f|o|3
蘿:,l|o|3
領:,l|ia|ng|5
七:,chh|i|t|0
而:,y|i|3
分:,f|u|n|5
農:,n|u|ng|3
价:,g|aa|i|3
晴:,c|i|ng|4
窮:,kh|iu|ng|3
巢:,c|aa|u|4
晚:,v|a|n|5
居:,k|i|5
往:,v|o|ng|5
八:,p|a|t|0
